descriptor_stack,k,system,T_K,snap,dFcorr_true_meVatom,dFcorr_knn_median_meVatom,abs_representation_mismatch_meVatom,median_cross_state_neighbor_distance,neighbor_target_IQR_meVatom
d3_SLE_Voro_q6,10,beta-TiV,500.0,98,4.2273075467043615,2.3111954341100347,1.9161121125943272,2.7230560132398995,3.675781176289597
d3_SLE_Voro_q6,10,beta-TiV,500.0,99,3.677896501435962,2.09331635927474,1.5845801421612224,2.7060458807047616,0.30255734255344585
d3_SLE_Voro_q6,10,beta-TiV,600.0,0,5.74425421065794,3.876599282631177,1.867654928026763,2.803188915407062,4.246149316431219
d3_SLE_Voro_q6,10,beta-TiV,600.0,1,5.620441042995528,6.49594072330642,0.8754996803108928,2.8193533349846054,5.3652390322705825
d3_SLE_Voro_q6,10,beta-TiV,600.0,2,6.471045608135495,3.7901351685590696,2.6809104395764254,2.7932868680405862,0.39161333336173304
d3_SLE_Voro_q6,10,beta-TiV,600.0,3,6.019491181008196,3.9816862689844164,2.03780491202378,2.808311384484033,5.382609514664869
d3_SLE_Voro_q6,10,beta-TiV,600.0,4,6.073820406861441,3.7631859661658162,2.3106344406956247,2.748101377758846,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,5,5.945405919957903,3.8004765866720276,2.1449293332858748,2.798248326583664,0.33086343960580383
d3_SLE_Voro_q6,10,beta-TiV,600.0,6,6.1372312529447415,9.125520058889085,2.988288805944345,2.8279723092957703,3.979968827046307
d3_SLE_Voro_q6,10,beta-TiV,600.0,7,6.122864479145729,3.7901351685590696,2.332729310586659,2.7849969755091855,0.39161333336173304
d3_SLE_Voro_q6,10,beta-TiV,600.0,8,6.088799770242237,3.7631859661658162,2.3256138040764207,2.7462385957222972,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,9,6.223270714771023,3.876599282631177,2.3466714321398463,2.803576558579252,4.246149316431219
d3_SLE_Voro_q6,10,beta-TiV,600.0,10,6.370144414620416,3.7631859661658162,2.6069584484545993,2.7839024632032388,0.20628394056727145
d3_SLE_Voro_q6,10,beta-TiV,600.0,11,6.275820117360443,3.7631859661658162,2.512634151194626,2.773974312006258,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,12,6.063347906255235,3.7631859661658162,2.300161940089418,2.767852612542595,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,13,5.7966479156734145,3.7631859661658162,2.033461949507598,2.7432393217522826,0.20628394056727145
d3_SLE_Voro_q6,10,beta-TiV,600.0,14,6.232973508317419,3.7631859661658162,2.4697875421516025,2.78230005100521,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,15,5.846818852238645,6.49594072330642,0.649121871067776,2.8183208937782265,5.392979412652029
d3_SLE_Voro_q6,10,beta-TiV,600.0,16,6.3808504669743416,3.7839108355957607,2.596939631378581,2.710108230226827,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,17,6.118775184329128,3.7839108355957607,2.3348643487333676,2.716551657621872,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,18,6.3463160237599014,3.7839108355957607,2.5624051881641408,2.6701662362630794,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,19,5.914323738221928,3.7901351685590696,2.1241885696628575,2.7921846266476815,0.39161333336173304
d3_SLE_Voro_q6,10,beta-TiV,600.0,20,5.718155540967718,3.7631859661658162,1.9549695748019014,2.6728167346602385,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,21,5.671222638703622,3.7631859661658162,1.908036672537805,2.7011631777189775,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,22,6.142005310527832,3.7839108355957607,2.358094474932071,2.686418620408869,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,23,5.700049893383796,3.7631859661658162,1.93686392721798,2.7075511825192655,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,24,5.85787139447741,9.254252255719075,3.3963808612416657,2.7517834398561187,0.14320155850161553
d3_SLE_Voro_q6,10,beta-TiV,600.0,25,5.797842104159234,3.7631859661658162,2.034656137993418,2.7318106855908244,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,26,6.070402077066217,3.7631859661658162,2.307216110900401,2.647606698715117,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,27,5.928476266873095,3.7839108355957607,2.1445654312773343,2.6989754836321684,0.28315634739776996
d3_SLE_Voro_q6,10,beta-TiV,600.0,28,6.113391681375536,3.876599282631177,2.2367923987443583,2.7996951069420293,4.246149316431219
d3_SLE_Voro_q6,10,beta-TiV,600.0,29,6.136364460962607,9.213797867223539,3.077433406260932,2.834454647954399,0.31924037367116187
